id,brand,name,manual_url,notes
dc0f068b-7f04-4f72-88fe-db2debf89bb9,DMM,Director Double Kwiklock,https://assets.dmmwales.com/download/406/,Handleiding: DMM-connectorenboekje waarin de Director met naam genoemd wordt.
b510899c-7e42-49d6-848c-f30d897d5ced,DMM,Director Double Locksafe,https://assets.dmmwales.com/download/406/,Handleiding: DMM-connectorenboekje waarin de Director met naam genoemd wordt.
c08f0dc3-3064-4da5-81a9-891df2e86808,DMM,Director Double Screwgate,https://assets.dmmwales.com/download/406/,Handleiding: DMM-connectorenboekje waarin de Director met naam genoemd wordt.
1fe88ea9-ba80-472b-a988-29735302ee8b,DMM,Fidus 6.5mm Loop With Thimble Eye 25.5cm,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
1942710e-50f8-45a3-8adf-c4bb39ad0e96,DMM,Fidus 6.5mm Loop With Thimble Eye 27cm,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
267deb4c-fbb0-475b-a0a1-520335aec36b,DMM,Fidus 8.5mm Eye to Eye 65.5cm (Nomad spare),https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
c61e28ea-4f57-40d6-82b5-2c2e77ff71c2,DMM,Fidus 8.5mm Eye to Eye 67cm (Nomad spare),https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
6f09e19a-7a53-4fbb-832b-446d9157785b,DMM,Fidus 8.5mm Eye to Eye 70cm,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
04fb2e53-d002-4c58-9736-0023ad8b97c7,DMM,Fidus 8.5mm Eye to Eye 75cm,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
42628083-8abf-49f2-8090-17cb731b4e5d,DMM,Fidus 8.5mm Eye to Eye 80cm,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
cab5edea-7b33-46ca-9739-1499ab1b0e49,DMM,Fidus 8.5mm Eye to Eye 85cm,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
4f47959f-8bcf-4cfc-8abb-7f1f52521e51,DMM,Fidus 8.5mm Eye to Eye 90cm,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
34c4202f-2a12-43c7-bc49-f117d50f734f,DMM,Fidus 8.5mm Eye to Eye 95cm,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
39e3a4a9-989f-4b88-9210-61a051ecf721,DMM,Fidus 8.5mm Eye to Eye 100cm,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
d6f60a5d-370e-4c4e-96f2-aa732941acb8,DMM,Low Stretch Rope Lanyard 11.8mm Blueberry 3m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
d70a383a-0902-4c25-b085-37a1e1fe38b6,DMM,Low Stretch Rope Lanyard 11.8mm Blueberry 4m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
9f29e745-55a2-4a03-a193-a4a1277f8941,DMM,Low Stretch Rope Lanyard 11.8mm Blueberry 5m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
661beb3d-d014-48a8-988a-bfceeb51e540,DMM,Low Stretch Rope Lanyard 11.8mm Blueberry 7m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
a0bb85a6-44fb-4c2a-8fa1-001ebeadf128,DMM,Low Stretch Rope Lanyard 11.8mm Blueberry 10m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
1e6f207a-d505-44ea-9c52-0fe795a618b4,DMM,Low Stretch Rope Lanyard 11.8mm Blueberry 15m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
36af1ded-aa3f-4cf2-916a-5b5c3c400d71,DMM,Low Stretch Rope Lanyard 11.8mm Blueberry 20m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
75d5659f-5ab7-4fd0-a6e0-3eeda086d2b2,DMM,Low Stretch Rope Lanyard 11.8mm Mango 3m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
f308bc01-6370-4283-878e-0948d35d5f34,DMM,Low Stretch Rope Lanyard 11.8mm Mango 4m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
d08f54b0-4121-4ac9-ae7b-249af6c1cc9a,DMM,Low Stretch Rope Lanyard 11.8mm Mango 5m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
35dc6064-95ac-41c3-ad9f-dcd7d56f5710,DMM,Low Stretch Rope Lanyard 11.8mm Mango 7m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
ef75204f-52c0-4444-a8f1-e73cda0e72eb,DMM,Low Stretch Rope Lanyard 11.8mm Mango 10m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
fb967dc9-97f0-476d-bf3c-0939f4bee533,DMM,Low Stretch Rope Lanyard 11.8mm Mango 15m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
be836b94-f1da-4e87-b631-06aee157cfbf,DMM,Low Stretch Rope Lanyard 11.8mm Mango 20m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
2087360a-1629-4404-a5d1-c35ef2cdd14b,DMM,Low Stretch Rope Lanyard 12.8mm Lemon 3m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
4375353a-d05b-4fdf-893b-10a399018095,DMM,Low Stretch Rope Lanyard 12.8mm Lemon 4m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
dfd00895-9d2e-4dac-a546-e39f99cf5ade,DMM,Low Stretch Rope Lanyard 12.8mm Lemon 5m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
f6395a30-9efe-46cf-907c-0dab83bd9fdb,DMM,Low Stretch Rope Lanyard 12.8mm Lemon 7m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
80e03ff5-7880-46cd-bede-0164137f04b9,DMM,Low Stretch Rope Lanyard 12.8mm Lemon 10m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
8bdf4582-1b4b-48ed-987a-78dc713fa500,DMM,Low Stretch Rope Lanyard 12.8mm Lemon 15m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
7ae4c294-d84a-45ad-9a27-71042a7eaecc,DMM,Low Stretch Rope Lanyard 12.8mm Lemon 20m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
568d65e6-fa9b-4ed4-8163-c890eea7065d,DMM,Low Stretch Rope Lanyard 12.8mm Lime 3m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
ba2918f4-5d9a-4e82-998f-2cbb525337d5,DMM,Low Stretch Rope Lanyard 12.8mm Lime 4m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
e1663d2f-e030-489a-8480-7dfbefad3ffb,DMM,Low Stretch Rope Lanyard 12.8mm Lime 5m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
f6684ceb-8d1a-40e3-a48a-50169500975d,DMM,Low Stretch Rope Lanyard 12.8mm Lime 7m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
bb300bb4-a5d8-4151-b779-0c14e668ac93,DMM,Low Stretch Rope Lanyard 12.8mm Lime 10m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
5dd016ac-c73d-48a0-b944-92e68fb90536,DMM,Low Stretch Rope Lanyard 12.8mm Lime 15m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
6a82e0ab-20ff-48fa-92e3-c737cd92ea57,DMM,Low Stretch Rope Lanyard 12.8mm Lime 20m,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
67d61f60-ea4c-4df7-94bc-f78ed7ce4022,DMM,Thimble Standard 6mm,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
ceced3cd-d998-49cb-bcc1-64a344a84db0,DMM,Thimble Standard 8mm,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
1fd74dff-f778-4d29-8ff6-f8d08dfc26f0,DMM,Thimble Standard 10mm,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
b3a5f8ce-8a38-4cb0-8c74-e99bf8c949f4,DMM,Thimble Standard 12mm,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
7062fd6f-8c79-49c9-a6a6-e9833096d2b9,DMM,Thimble With Tab 8mm,https://assets.dmmwales.com/download/147/,"Handleiding: DMM-boekje ""Slings and Lanyards"", hetzelfde dat bij de overige DMM-lussen en -lijnen staat."
