brand,name,product_type,category,material,standard,max_age_mfr_years,max_age_use_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,inspection_interval_years,manufacturer_code,manual_url,product_page_url,recall_url,inspection_notice_url
Climbing Technology,GRYPHON size S-M,ppe,Harnesses,,"EN 361:2002, EN 358:2018, EN 813:2008",12,10,,,140,,,,,7H174BC,https://www.climbingtechnology.com/wp-content/uploads/2021/10/IST52-AXGRYCTS1-S2_rev-1_03-23.pdf,https://www.climbingtechnology.com/en/professional-en/harnesses_/gryphon,,https://www.climbingtechnology.com/en/alerts/24-may-2023-gryphon
Climbing Technology,GRYPHON size M-L,ppe,Harnesses,,"EN 361:2002, EN 358:2018, EN 813:2008",12,10,,,140,,,,,7H174CD,https://www.climbingtechnology.com/wp-content/uploads/2021/10/IST52-AXGRYCTS1-S2_rev-1_03-23.pdf,https://www.climbingtechnology.com/en/professional-en/harnesses_/gryphon,,https://www.climbingtechnology.com/en/alerts/24-may-2023-gryphon
Climbing Technology,GRYPHON size L-XL,ppe,Harnesses,,"EN 361:2002, EN 358:2018, EN 813:2008",12,10,,,140,,,,,7H174DE,https://www.climbingtechnology.com/wp-content/uploads/2021/10/IST52-AXGRYCTS1-S2_rev-1_03-23.pdf,https://www.climbingtechnology.com/en/professional-en/harnesses_/gryphon,,https://www.climbingtechnology.com/en/alerts/24-may-2023-gryphon
Climbing Technology,XARRIER size S-M,ppe,Harnesses,,"EN 813:2008, EN 358:2018, EN 12277:2015+A1:2018-C",12,10,,,140,,,,,7H179BC01,https://www.climbingtechnology.com/wp-content/uploads/2021/12/IST52-7H180CTS1-S2_rev-0_10-21.pdf,https://www.climbingtechnology.com/en/professional-en/harnesses_/xarrier,,
Climbing Technology,XARRIER size M-L,ppe,Harnesses,,"EN 813:2008, EN 358:2018, EN 12277:2015+A1:2018-C",12,10,,,140,,,,,7H179CD01,https://www.climbingtechnology.com/wp-content/uploads/2021/12/IST52-7H180CTS1-S2_rev-0_10-21.pdf,https://www.climbingtechnology.com/en/professional-en/harnesses_/xarrier,,
Climbing Technology,XARRIER size L-XL,ppe,Harnesses,,"EN 813:2008, EN 358:2018, EN 12277:2015+A1:2018-C",12,10,,,140,,,,,7H179DE01,https://www.climbingtechnology.com/wp-content/uploads/2021/12/IST52-7H180CTS1-S2_rev-0_10-21.pdf,https://www.climbingtechnology.com/en/professional-en/harnesses_/xarrier,,
Climbing Technology,TOP X,ppe,Harnesses,,EN 361:2002 (in combination with XARRIER),12,10,,,140,,,,,7H180AF03,https://www.climbingtechnology.com/wp-content/uploads/2021/12/IST52-7H180CTS1-S2_rev-0_10-21.pdf,https://www.climbingtechnology.com/en/professional-en/harnesses_/top_x,,
Climbing Technology,TOP Y,ppe,Harnesses,,EN 361:2002 (in combination with XARRIER),12,10,,,140,,,,,7H181AF01,https://www.climbingtechnology.com/wp-content/uploads/2021/12/IST52-7H180CTS1-S2_rev-0_10-21.pdf,https://www.climbingtechnology.com/en/professional-en/harnesses_/top_y,,
Climbing Technology,HOOK REST,no_ppe,Harnesses,,,,,,,,,,,,6V522,https://www.climbingtechnology.com/wp-content/uploads/2020/03/IST46-HORESCTS_rev-0_12-21.pdf,https://www.climbingtechnology.com/en/professional-en/harnesses_/hook_rest,,
Climbing Technology,WORK TEC 140 size S-M,ppe,Harnesses,,EN 361:2002,12,10,,,140,,,,,7H165BCO1,https://www.climbingtechnology.com/wp-content/uploads/2020/06/IST52-WO140CTS1-S2_rev-0_12-21.pdf,https://www.climbingtechnology.com/en/professional-en/harnesses_/work_tec_140,,
