id,brand,name,notes
805e6abd-0bce-4594-9ab3-2e761f39d426,Arbpro,XS9.1 Prusik 60cm,"Prusiklus met twee gestikte ogen. Arbpro verkoopt hem als ""Split-Tail XS 9.1 – Prusik Sling""; die term is hier weggelaten omdat een split tail in de praktijk iets anders is (de losse korte lijn in een DdRT-systeem). Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 60 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
a393b20f-8492-4aa5-8c38-4c1fd1c01eab,Arbpro,XS9.1 Prusik 65cm,"Prusiklus met twee gestikte ogen. Arbpro verkoopt hem als ""Split-Tail XS 9.1 – Prusik Sling""; die term is hier weggelaten omdat een split tail in de praktijk iets anders is (de losse korte lijn in een DdRT-systeem). Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 65 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
4132265d-3237-40f9-8d71-889ea82e2991,Arbpro,XS9.1 Prusik 70cm,"Prusiklus met twee gestikte ogen. Arbpro verkoopt hem als ""Split-Tail XS 9.1 – Prusik Sling""; die term is hier weggelaten omdat een split tail in de praktijk iets anders is (de losse korte lijn in een DdRT-systeem). Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 70 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
a13bdff2-c0cd-4e53-9bdc-12d70bebdb82,Arbpro,XS9.1 Prusik 75cm,"Prusiklus met twee gestikte ogen. Arbpro verkoopt hem als ""Split-Tail XS 9.1 – Prusik Sling""; die term is hier weggelaten omdat een split tail in de praktijk iets anders is (de losse korte lijn in een DdRT-systeem). Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 75 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
58cc1fbc-258c-4514-a775-ce8ee49926e7,Arbpro,XS9.1 Prusik 80cm,"Prusiklus met twee gestikte ogen. Arbpro verkoopt hem als ""Split-Tail XS 9.1 – Prusik Sling""; die term is hier weggelaten omdat een split tail in de praktijk iets anders is (de losse korte lijn in een DdRT-systeem). Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 80 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
24cf2162-7965-4318-9af7-6980f36f5a4a,Arbpro,XS9.1 Prusik 85cm,"Prusiklus met twee gestikte ogen. Arbpro verkoopt hem als ""Split-Tail XS 9.1 – Prusik Sling""; die term is hier weggelaten omdat een split tail in de praktijk iets anders is (de losse korte lijn in een DdRT-systeem). Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 85 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
67018ee4-87ec-401d-92ee-4e19ce751433,Arbpro,XS9.1 Prusik 90cm,"Prusiklus met twee gestikte ogen. Arbpro verkoopt hem als ""Split-Tail XS 9.1 – Prusik Sling""; die term is hier weggelaten omdat een split tail in de praktijk iets anders is (de losse korte lijn in een DdRT-systeem). Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 90 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
e5db34b1-0a4e-41be-b638-8d7117069a59,Arbpro,XS9.1 Prusik 95cm,"Prusiklus met twee gestikte ogen. Arbpro verkoopt hem als ""Split-Tail XS 9.1 – Prusik Sling""; die term is hier weggelaten omdat een split tail in de praktijk iets anders is (de losse korte lijn in een DdRT-systeem). Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 95 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
8c4042d2-1bdb-4d4f-91c4-08c95f42ee0d,Arbpro,XS9.1 Prusik 100cm,"Prusiklus met twee gestikte ogen. Arbpro verkoopt hem als ""Split-Tail XS 9.1 – Prusik Sling""; die term is hier weggelaten omdat een split tail in de praktijk iets anders is (de losse korte lijn in een DdRT-systeem). Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 100 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
861bdc61-9d44-40ea-a99b-12a023735a59,Arbpro,XS9.1 Prusik 120cm,"Prusiklus met twee gestikte ogen. Arbpro verkoopt hem als ""Split-Tail XS 9.1 – Prusik Sling""; die term is hier weggelaten omdat een split tail in de praktijk iets anders is (de losse korte lijn in een DdRT-systeem). Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 120 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
